id,NumOfCur,NumOfIncur,PerOfCur,PerOfIncur,NumOfVotes
9922,1,0,1.000000,0.000000,1
1731,27,3,0.900000,0.100000,30
9927,3,0,1.000000,0.000000,3
9932,1,5,0.166667,0.833333,6
9940,2,2,0.500000,0.500000,4
1749,1,1,0.500000,0.500000,2
9943,1,1,0.500000,0.500000,2
9946,1,0,1.000000,0.000000,1
9954,24,20,0.545455,0.454545,44
9958,3,2,0.600000,0.400000,5
9852,3,4,0.428571,0.571429,7
9970,7,24,0.225806,0.774194,31
1782,31,18,0.632653,0.367347,49
1783,1,2,0.333333,0.666667,3
9976,9,5,0.642857,0.357143,14
9977,41,9,0.820000,0.180000,50
9978,45,44,0.505618,0.494382,89
9981,35,40,0.466667,0.533333,75
9983,8,13,0.380952,0.619048,21
1792,2,0,1.000000,0.000000,2
1794,29,20,0.591837,0.408163,49
9991,7,1,0.875000,0.125000,8
1803,31,21,0.596154,0.403846,52
1805,1,2,0.333333,0.666667,3
10003,0,2,0.000000,1.000000,2
1814,2,0,1.000000,0.000000,2
10007,18,24,0.428571,0.571429,42
10010,1,1,0.500000,0.500000,2
10014,37,18,0.672727,0.327273,55
10016,1,4,0.200000,0.800000,5
1826,1,11,0.083333,0.916667,12
10972,1,0,1.000000,0.000000,1
1836,3,1,0.750000,0.250000,4
1839,7,15,0.318182,0.681818,22
1850,7,7,0.500000,0.500000,14
10045,0,2,0.000000,1.000000,2
10046,1,8,0.111111,0.888889,9
10048,1,2,0.333333,0.666667,3
1865,77,42,0.647059,0.352941,119
10058,1,11,0.083333,0.916667,12
1870,2,7,0.222222,0.777778,9
10063,24,13,0.648649,0.351351,37
1872,10,10,0.500000,0.500000,20
10065,2,0,1.000000,0.000000,2
1882,26,36,0.419355,0.580645,62
1894,2,11,0.153846,0.846154,13
10094,18,25,0.418605,0.581395,43
1904,20,5,0.800000,0.200000,25
10099,22,26,0.458333,0.541667,48
10104,1,0,1.000000,0.000000,1
1914,1,0,1.000000,0.000000,1
10112,58,52,0.527273,0.472727,110
1923,6,13,0.315789,0.684211,19
10121,13,43,0.232143,0.767857,56
10126,37,30,0.552239,0.447761,67
1935,37,17,0.685185,0.314815,54
1943,1,0,1.000000,0.000000,1
10136,11,5,0.687500,0.312500,16
10139,4,1,0.800000,0.200000,5
1952,3,1,0.750000,0.250000,4
10145,30,16,0.652174,0.347826,46
1958,2,0,1.000000,0.000000,2
10161,4,8,0.333333,0.666667,12
10163,1,2,0.333333,0.666667,3
10165,34,27,0.557377,0.442623,61
1981,47,6,0.886792,0.113208,53
10177,7,4,0.636364,0.363636,11
10179,24,39,0.380952,0.619048,63
1991,14,15,0.482759,0.517241,29
10184,7,24,0.225806,0.774194,31
1998,30,9,0.769231,0.230769,39
10192,2,5,0.285714,0.714286,7
10197,4,2,0.666667,0.333333,6
9614,1,6,0.142857,0.857143,7
10200,11,15,0.423077,0.576923,26
2011,15,18,0.454545,0.545455,33
