id,NumOfCur,NumOfIncur,PerOfCur,PerOfIncur,NumOfVotes
1001039,16,17,0.484848,0.515152,33
1001040,16,18,0.470588,0.529412,34
1001058,9,19,0.321429,0.678571,28
1001065,15,2,0.882353,0.117647,17
1001069,1,3,0.250000,0.750000,4
1001079,52,15,0.776119,0.223881,67
1001080,15,8,0.652174,0.347826,23
1001081,2,0,1.000000,0.000000,2
1002092,2,0,1.000000,0.000000,2
1002054,36,30,0.545455,0.454545,66
1001102,2,0,1.000000,0.000000,2
1002093,49,39,0.556818,0.443182,88
1002435,4,1,0.800000,0.200000,5
1001114,1,0,1.000000,0.000000,1
1001121,2,0,1.000000,0.000000,2
1002097,0,2,0.000000,1.000000,2
1001130,4,3,0.571429,0.428571,7
1001132,56,33,0.629213,0.370787,89
1002192,42,7,0.857143,0.142857,49
1001156,30,19,0.612245,0.387755,49
1001163,13,1,0.928571,0.071429,14
1001168,2,3,0.400000,0.600000,5
1001184,6,0,1.000000,0.000000,6
1001186,5,3,0.625000,0.375000,8
1001187,11,4,0.733333,0.266667,15
1000401,0,5,0.000000,1.000000,5
1001195,33,8,0.804878,0.195122,41
1001198,17,3,0.850000,0.150000,20
1001203,8,4,0.666667,0.333333,12
1001210,2,0,1.000000,0.000000,2
1001211,61,4,0.938462,0.061538,65
1001212,2,0,1.000000,0.000000,2
1001221,5,2,0.714286,0.285714,7
1001229,4,1,0.800000,0.200000,5
1001237,4,1,0.800000,0.200000,5
1001239,2,2,0.500000,0.500000,4
1001240,2,2,0.500000,0.500000,4
1001245,6,3,0.666667,0.333333,9
1001246,17,3,0.850000,0.150000,20
1001248,5,4,0.555556,0.444444,9
1002122,45,14,0.762712,0.237288,59
1001100,13,10,0.565217,0.434783,23
1002807,2,0,1.000000,0.000000,2
1001295,1,0,1.000000,0.000000,1
1002126,3,0,1.000000,0.000000,3
1001303,8,10,0.444444,0.555556,18
1001311,7,2,0.777778,0.222222,9
1001312,5,3,0.625000,0.375000,8
1001335,2,1,0.666667,0.333333,3
1001340,2,0,1.000000,0.000000,2
1002133,1,0,1.000000,0.000000,1
1001352,46,20,0.696970,0.303030,66
1001353,6,0,1.000000,0.000000,6
1002135,2,0,1.000000,0.000000,2
1002138,2,2,0.500000,0.500000,4
1001377,18,9,0.666667,0.333333,27
1002140,7,6,0.538462,0.461538,13
1001387,15,2,0.882353,0.117647,17
1002141,2,0,1.000000,0.000000,2
1001392,7,3,0.700000,0.300000,10
1002142,12,6,0.666667,0.333333,18
1001401,3,1,0.750000,0.250000,4
1001409,4,9,0.307692,0.692308,13
1001412,1,0,1.000000,0.000000,1
1001415,2,0,1.000000,0.000000,2
1002146,2,1,0.666667,0.333333,3
1002065,35,15,0.700000,0.300000,50
1001431,2,1,0.666667,0.333333,3
1002148,3,3,0.500000,0.500000,6
1002149,2,1,0.666667,0.333333,3
1001441,2,0,1.000000,0.000000,2
1001457,0,1,0.000000,1.000000,1
1002495,2,2,0.500000,0.500000,4
