id,NumOfCur,NumOfIncur,PerOfCur,PerOfIncur
1001288,388,212,0.646667,0.353333
1001100,13,10,0.565217,0.434783
1002807,2,0,1.000000,0.000000
1001295,1,0,1.000000,0.000000
1002126,3,0,1.000000,0.000000
1001303,8,10,0.444444,0.555556
1001311,7,2,0.777778,0.222222
1001312,5,3,0.625000,0.375000
1001335,2,1,0.666667,0.333333
1001340,2,0,1.000000,0.000000
1002133,1,0,1.000000,0.000000
1001352,46,20,0.696970,0.303030
1001353,6,0,1.000000,0.000000
1002135,2,0,1.000000,0.000000
1002138,2,2,0.500000,0.500000
1001377,18,9,0.666667,0.333333
1001380,371,179,0.674545,0.325455
1001382,262,97,0.729805,0.270195
1002140,7,6,0.538462,0.461538
1001387,15,2,0.882353,0.117647
1002141,2,0,1.000000,0.000000
1001392,7,3,0.700000,0.300000
1002142,12,6,0.666667,0.333333
1001401,3,1,0.750000,0.250000
1001409,4,9,0.307692,0.692308
1001412,1,0,1.000000,0.000000
1001415,2,0,1.000000,0.000000
1001419,278,146,0.655660,0.344340
1002146,2,1,0.666667,0.333333
1002065,35,15,0.700000,0.300000
1001431,2,1,0.666667,0.333333
1002148,3,3,0.500000,0.500000
1002149,2,1,0.666667,0.333333
1001441,2,0,1.000000,0.000000
1001454,331,112,0.747178,0.252822
1001457,0,1,0.000000,1.000000
1002495,2,2,0.500000,0.500000
